ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
9.99,-0.82,0.4,-0.13,0.09,-0.01,382.17,444.77,0,6,1
10.26,-0.67,0.39,-0.1,0.01,-0.02,455.63,564.54,0,6,1
9.79,-0.53,0.33,-0.13,0.05,0.06,485.9,680.35,0,6,1
11.38,-1.16,0.96,-0.12,-0.15,-0.13,383.23,500.91,0,6,1
13.66,-0.68,-0.6,-0.19,-0.66,-1.48,646.23,888.35,0,6,1
11.91,1.35,-2.2,-0.44,-0.35,-2.13,729.17,1034.69,0,6,1
11.05,3.08,-2.84,-1.21,-0.53,-2.84,598.5,763.64,0,6,1
6.65,3.62,-0.09,-1.6,-0.03,-3.1,884.56,1230.08,0,6,1
5.09,6.09,0.34,-1.4,-0.38,-3.19,1069.44,1424.18,1,6,1
-2.63,7.97,4.76,-0.2,0.26,-0.55,692.48,822.6,0,7,1
-2.29,8.1,4.65,0.64,0.85,0.77,629.83,789.42,0,7,1
-2.79,6.64,3.09,1.39,0.64,2.64,535.4,606.6,0,7,1
2.88,7.64,-0.45,1.51,0.29,3.47,526.67,606.08,0,7,1
6.27,6.31,-1.69,0.92,0.67,3.57,400.69,526.04,0,7,1
10.37,3.37,-2.18,0.09,-0.04,3.1,656.97,846.86,0,7,1
11.74,1.24,-0.54,-0.36,0.53,2.12,774.48,1010.79,0,7,1
12.11,0.1,0.12,-0.25,-0.0,1.28,865.88,1179.22,0,7,1
10.6,-0.14,-0.34,0.12,0.31,0.87,551.48,648.63,0,7,1
12.56,-0.51,-1.28,0.03,0.32,0.62,480.09,586.53,0,7,1
10.36,-0.88,1.22,-0.11,0.44,-0.12,464.21,546.76,0,7,1
11.0,-0.71,-0.23,0.0,-0.09,0.01,480.14,552.85,0,7,1
10.05,-0.73,0.95,-0.09,0.15,-0.01,494.45,575.39,0,7,1
10.35,-0.73,0.51,-0.07,0.14,-0.0,436.96,502.33,0,7,1
9.91,-0.75,0.87,-0.09,-0.01,-0.05,375.31,448.9,0,7,1
10.37,-0.69,0.88,-0.05,0.01,0.01,374.46,454.89,0,7,1
10.33,-0.63,0.91,-0.04,-0.02,-0.01,395.02,466.68,0,7,1
9.92,-0.48,0.73,-0.08,0.06,-0.0,370.16,437.58,0,7,1
10.27,-0.64,0.9,-0.1,0.05,0.02,469.49,639.0,0,7,1
11.28,-0.61,0.84,-0.05,-0.14,-0.19,474.7,620.98,0,7,1
13.42,-0.03,0.27,0.01,-0.65,-0.92,434.57,498.43,0,7,1
10.63,1.24,-0.49,-0.2,-0.0,-1.53,804.79,1088.62,0,7,1
11.42,2.15,-0.22,-0.47,-0.22,-1.86,706.94,946.17,0,7,1
11.7,3.61,-1.22,-0.76,-0.06,-2.85,564.69,714.5,0,7,1
4.79,4.75,0.2,-1.18,-0.61,-3.13,1000.05,1284.85,0,7,1
3.65,6.86,0.16,-1.27,-0.51,-2.72,767.75,1024.38,0,7,1
2.63,8.12,1.84,-1.1,0.15,-2.34,1162.11,1515.83,1,7,1
-3.26,9.06,3.38,0.43,0.57,0.76,631.39,750.87,0,8,1
