ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
1.27,11.84,0.99,0.52,0.33,-0.45,798.02,1018.28,0,9,1
-1.36,10.01,0.05,-0.13,0.06,0.08,930.33,1187.16,0,9,1
1.55,12.65,2.08,-0.19,-0.77,0.24,1090.79,1259.72,0,9,1
-0.94,6.14,1.19,-0.19,0.17,0.65,785.71,932.92,0,9,1
1.52,11.09,2.62,0.12,0.16,-0.18,671.39,762.59,0,9,1
-1.36,9.9,0.33,-0.21,0.44,-0.09,1181.3,1453.26,0,9,1
0.06,12.23,0.8,-0.48,-0.01,0.52,945.46,1035.48,0,9,1
-0.21,7.21,1.31,0.11,-1.39,-1.07,872.37,1003.4,0,9,1
-0.71,7.47,1.77,-0.35,0.52,1.05,730.01,804.0,0,9,1
-1.12,10.64,-0.26,0.41,0.08,-0.32,542.54,645.23,0,9,1
-0.48,9.48,0.62,-0.16,0.15,0.08,882.53,1070.66,0,9,1
0.21,12.14,1.26,-0.5,-0.25,0.19,930.47,1036.95,0,9,1
-1.13,5.33,0.95,-0.11,-0.22,-0.57,719.13,812.87,0,9,1
-0.33,10.62,1.61,-0.21,0.37,0.22,581.42,656.82,0,9,1
0.41,10.07,1.32,-0.02,0.29,0.06,1131.31,1468.01,0,9,1
0.29,11.96,2.32,-0.26,-0.03,0.29,1379.14,1640.64,1,9,1
-1.45,5.82,1.45,-0.38,0.18,0.55,921.19,1075.83,0,10,1
2.04,10.37,1.75,0.47,0.35,0.21,771.79,885.92,0,10,1
0.42,9.82,0.22,-0.34,-0.29,-0.25,705.18,805.16,0,10,1
-1.07,9.49,2.13,-0.11,0.19,-0.12,712.62,830.99,0,10,1
-0.56,9.34,1.89,-0.03,0.06,-0.02,718.03,798.32,0,10,1
4.63,-3.66,7.1,0.39,0.89,0.02,0.0,323.37,0,0,1
-7.35,0.02,8.39,2.16,-0.01,1.34,0.0,0.0,0,0,1
2.94,7.18,-0.67,1.96,-0.28,0.49,523.74,845.01,0,0,1
5.31,7.39,-2.11,-0.56,-0.41,0.86,893.08,1118.83,0,0,1
7.25,8.63,-1.42,-0.79,-0.42,-0.46,1065.18,1341.69,0,0,1
-4.33,5.59,2.01,-1.03,0.01,-2.87,1148.9,1446.74,0,0,1
-7.75,3.0,4.27,0.22,0.2,0.85,785.47,861.5,0,0,1
2.77,9.13,0.43,0.5,-0.1,2.0,1142.65,1523.03,1,0,1
7.36,7.15,0.53,-0.17,0.1,-0.01,1771.4,1934.06,1,0,1
3.66,8.81,0.57,-0.57,-0.11,-2.31,1481.3,1552.76,1,0,1
-6.88,6.29,3.16,-0.32,0.15,0.11,1364.65,1511.74,1,0,1
0.99,8.91,1.19,0.6,0.25,1.9,962.0,1087.03,0,1,1
7.7,7.08,-0.27,-0.07,0.53,0.32,950.41,1105.25,0,1,1
8.21,8.08,-0.16,-0.16,-0.21,-0.34,996.63,1118.63,0,1,1
-0.39,8.21,0.95,-1.0,-0.16,-2.03,1244.22,1432.46,0,1,1
-5.67,6.44,3.9,-0.0,-0.19,1.19,889.69,1014.5,0,1,1
5.38,9.01,-0.54,0.66,-0.15,1.85,886.83,1126.62,0,1,1
8.24,6.35,0.5,-0.04,-0.08,-0.17,721.7,855.28,0,1,1
8.19,6.23,-0.26,-0.06,-0.05,-0.01,793.26,867.79,0,1,1
6.05,8.2,-0.87,-0.76,-0.37,-2.15,719.62,862.14,0,1,1
-5.23,6.2,3.07,-0.73,-0.31,-2.15,778.3,1062.32,0,1,1
-5.96,5.18,4.06,0.09,-0.2,0.83,758.23,929.72,0,1,1
2.52,9.56,1.01,0.48,0.13,1.14,1226.07,1436.93,0,1,1
0.34,6.76,0.51,-0.05,0.37,-0.17,820.94,936.7,0,1,1
6.66,7.41,0.42,-0.05,0.15,-0.0,600.14,688.74,0,1,1
2.17,8.92,0.17,-0.65,0.1,-2.08,1180.78,1463.08,0,1,1
-6.28,6.07,3.45,-0.31,0.27,-0.23,1005.3,1236.19,0,1,1
-1.76,8.05,2.38,0.82,0.31,2.04,909.02,1082.07,0,1,1
7.59,8.31,-0.53,-0.05,0.42,0.99,789.11,907.17,0,1,1
