ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
3.17,10.16,1.92,-0.19,0.27,-0.34,548.72,657.0,0,3,1
3.25,9.01,1.96,-0.06,0.11,0.1,551.59,680.39,0,3,1
2.99,9.03,1.68,-0.05,0.2,0.01,610.06,700.09,0,3,1
3.41,9.03,2.11,-0.02,0.23,0.01,608.67,690.34,0,3,1
3.79,9.9,1.96,-0.02,0.15,-0.03,571.31,652.25,0,3,1
3.93,11.08,1.98,0.07,0.04,0.02,499.79,568.76,0,3,1
5.21,11.9,1.77,0.18,0.17,0.01,498.91,624.01,0,3,1
3.22,10.48,0.45,-0.03,0.04,-0.45,449.28,524.05,0,3,1
0.93,9.07,1.42,-0.37,-0.22,-0.65,432.04,535.92,0,3,1
1.04,8.58,2.58,-0.36,-0.56,-0.78,497.74,687.17,0,3,1
1.92,7.56,1.83,-0.23,-0.17,-1.38,715.18,1002.51,0,3,1
-0.06,6.78,1.99,-0.39,0.14,-1.54,809.59,1017.82,0,3,1
-3.24,6.74,2.99,-0.37,0.43,-1.3,707.17,984.55,0,3,1
-3.56,7.04,3.13,-0.08,0.18,0.23,789.32,1103.43,0,3,1
-1.92,7.02,2.46,0.11,0.4,1.33,463.72,528.93,0,3,1
-1.17,6.27,3.04,0.14,-0.25,1.81,443.75,509.63,0,3,1
1.67,7.0,2.56,0.57,0.0,1.69,661.62,828.34,0,3,1
2.59,8.07,1.61,0.52,0.09,1.26,593.76,687.77,0,3,1
4.33,9.17,-0.1,0.28,-0.09,0.75,430.5,490.19,0,3,1
4.85,9.65,0.15,-0.17,-0.67,0.32,425.06,481.67,0,3,1
5.94,10.3,0.06,-0.43,-0.46,-0.02,337.88,380.51,0,3,1
4.99,9.9,0.73,-0.48,0.4,-0.7,517.38,659.24,0,3,1
2.98,11.19,1.12,-0.61,0.74,-0.69,931.68,1192.42,0,3,1
3.26,10.06,2.63,-0.02,0.3,-0.0,795.71,988.59,0,3,1
3.01,9.17,1.56,-0.05,0.25,0.04,780.39,904.73,0,3,1
1.92,9.07,2.1,-0.03,0.22,0.02,633.91,728.25,0,3,1
2.32,9.2,1.89,-0.05,0.17,0.0,648.7,775.64,0,3,1
2.82,9.72,1.88,-0.05,0.13,-0.02,725.34,838.53,0,3,1
4.34,12.29,1.82,0.08,0.0,0.09,677.26,735.52,0,3,1
2.69,11.96,2.17,0.34,0.13,0.4,651.86,794.37,0,3,1
3.57,10.91,0.66,0.2,0.28,-0.11,533.58,622.63,0,3,1
1.15,9.37,0.92,-0.29,-0.21,-0.59,511.58,581.12,0,3,1
0.37,7.92,1.74,-0.39,-0.41,-0.59,530.66,710.83,0,3,1
1.51,8.29,0.58,-0.38,-0.07,-0.84,948.54,1319.1,0,3,1
1.76,6.64,1.22,-0.63,-0.12,-1.61,633.89,869.49,0,3,1
0.03,6.8,3.31,-0.38,-0.04,-1.45,791.8,1092.99,0,3,1
-3.58,7.07,3.59,-0.13,-0.11,0.12,587.13,735.76,0,3,1
-0.69,6.23,3.28,0.21,-0.18,1.64,645.39,782.33,0,3,1
0.63,5.82,3.37,0.63,-0.02,1.88,514.42,601.64,0,3,1
1.69,7.81,2.31,0.79,0.76,1.42,493.85,588.91,0,3,1
2.74,10.81,0.78,0.75,0.48,0.79,478.84,546.42,0,3,1
2.28,11.07,0.33,-0.03,0.23,0.01,375.42,426.99,0,3,1
2.52,10.2,0.19,-0.75,-0.69,0.19,377.33,433.27,0,3,1
4.24,9.88,2.69,-0.27,-0.47,-0.36,393.95,484.44,0,3,1
5.13,12.05,0.5,-0.21,0.28,-0.45,567.97,718.2,0,3,1
0.5,10.98,3.01,-0.25,0.24,-0.14,730.72,942.92,0,3,1
2.27,9.5,1.56,-0.04,0.25,0.11,725.56,875.08,0,3,1
2.02,8.95,2.02,-0.06,0.15,0.14,662.15,750.84,0,3,1
2.29,9.5,1.92,-0.02,-0.01,0.13,677.45,792.2,0,3,1
2.98,10.89,2.35,0.12,-0.05,0.33,680.82,760.4,0,3,1
5.44,12.35,1.9,0.33,0.2,0.5,574.72,679.65,0,3,1
4.65,10.77,-0.29,0.04,-0.39,-0.18,487.23,553.57,0,3,1
3.08,9.15,0.68,-0.5,-0.03,-1.0,515.83,721.9,0,3,1
0.51,7.97,1.19,-0.81,0.25,-1.57,614.74,778.6,0,3,1
-1.27,6.42,3.17,-0.85,-0.67,-1.58,697.25,956.18,0,3,1
-0.63,6.97,2.98,-0.45,-0.2,-1.54,778.03,952.19,0,3,1
-0.96,6.56,3.27,-0.31,0.03,-1.82,649.3,882.4,0,3,1
-6.15,7.58,3.41,-0.02,0.51,-0.39,830.99,1109.43,0,3,1
-3.43,6.75,3.27,-0.03,0.04,0.69,536.57,626.56,0,3,1
-4.19,6.21,3.98,0.3,0.17,1.89,437.84,502.93,0,3,1
-1.51,6.45,3.41,0.5,0.4,2.32,593.22,710.18,0,3,1
0.49,5.35,2.5,0.62,0.67,1.92,668.07,772.0,0,3,1
2.88,9.44,0.64,0.61,-0.43,1.45,714.52,808.67,0,3,1
4.49,11.0,-0.54,-0.02,-0.66,0.65,538.13,626.01,0,3,1
3.01,9.35,1.01,-0.47,-0.78,-0.11,505.41,596.97,0,3,1
4.1,11.55,-0.27,-0.53,0.42,0.03,413.22,489.99,0,3,1
5.1,10.74,1.53,-0.46,0.38,-0.77,589.67,806.08,0,3,1
1.26,10.22,1.97,-0.09,0.11,0.2,764.31,940.02,0,3,1
2.23,9.55,1.79,0.06,0.28,0.13,655.56,762.37,0,3,1
2.67,9.66,1.94,0.09,0.16,0.26,624.61,733.13,0,3,1
4.69,10.94,2.18,0.36,-0.35,0.33,570.47,643.66,0,3,1
3.86,11.85,1.74,0.54,-0.37,0.66,539.93,608.54,0,3,1
5.47,11.11,-0.17,0.51,-0.04,0.37,505.01,571.9,0,3,1
4.03,10.73,-0.92,0.06,-0.38,-0.33,555.77,759.9,0,3,1
1.31,8.83,-0.71,-0.64,-0.56,-0.92,533.49,786.98,0,3,1
2.49,6.53,0.49,-0.74,-0.61,-1.06,732.91,973.54,0,3,1
2.88,6.94,0.32,-0.49,0.25,-1.55,693.9,897.87,0,3,1
-1.19,5.2,1.93,-0.39,1.09,-1.58,924.56,1240.86,0,3,1
0.8,8.2,0.72,0.16,-0.1,0.77,1685.26,1943.76,1,3,1
4.45,7.73,1.07,0.57,0.3,1.62,1011.69,1130.75,0,4,1
3.79,8.99,-0.25,0.55,0.28,0.78,783.27,861.54,0,4,1
3.55,10.11,-0.29,0.23,0.05,0.39,543.76,616.01,0,4,1
3.22,10.74,0.63,-0.16,-0.24,0.21,420.65,467.2,0,4,1
4.12,10.81,0.91,-0.47,0.28,0.05,352.77,379.91,0,4,1
5.87,10.01,0.02,-0.43,0.25,-0.22,0.0,0.0,0,4,1
5.2,9.13,-0.47,-0.69,0.64,-0.68,449.17,669.06,0,4,1
5.19,10.44,3.28,-0.1,0.52,-0.7,964.45,1314.57,0,4,1
2.99,10.65,2.1,0.08,0.42,-0.1,722.15,894.34,0,4,1
3.2,9.3,2.03,0.11,0.2,0.19,646.83,767.36,0,4,1
2.84,9.9,1.66,0.15,0.07,0.29,575.21,665.85,0,4,1
5.1,11.25,1.3,0.36,-0.03,0.58,558.19,640.44,0,4,1
6.96,11.25,0.52,0.34,0.2,0.64,458.12,533.67,0,4,1
6.44,10.13,-1.03,0.31,-0.0,-0.04,438.81,494.01,0,4,1
3.91,9.19,-0.5,0.05,-0.02,-0.48,426.84,529.31,0,4,1
2.73,8.54,-0.18,-0.3,-0.46,-0.62,390.81,508.65,0,4,1
1.66,7.89,0.97,-0.48,-0.62,-0.73,490.05,700.62,0,4,1
1.44,7.71,1.13,-0.25,-0.48,-0.71,588.23,869.68,0,4,1
2.43,8.01,0.44,-0.31,0.19,-1.07,733.73,900.61,0,4,1
1.91,7.78,0.73,-0.47,0.46,-1.43,882.18,1160.12,0,4,1
-1.78,8.03,1.88,-0.22,0.03,-0.48,893.99,1169.75,0,4,1
-1.08,9.36,1.44,-0.03,-0.33,0.32,1755.97,1996.82,1,4,1
0.0,6.06,1.88,0.35,0.05,1.97,1597.91,1738.07,1,4,1
4.71,8.86,0.11,0.49,0.7,1.59,1211.8,1352.07,1,4,1
4.75,8.11,-0.02,0.09,0.09,0.82,1034.92,1113.65,0,5,1
5.09,9.57,0.46,0.1,0.01,0.21,720.74,778.9,0,5,1
2.81,10.27,0.47,-0.07,-0.14,-0.24,566.79,590.79,0,5,1
3.86,11.57,-0.05,-0.23,-0.1,-0.17,350.27,387.23,0,5,1
4.99,10.58,0.14,-0.52,0.22,-0.11,0.0,0.0,0,5,1
4.15,8.84,2.39,-0.42,0.14,-0.58,0.0,342.76,0,5,1
